Name,Size,Location,Price,Photo
Olive Oil,cups,Safeway,0.80,http://farm9.staticflickr.com/8342/8245152253_7d01871f15.jpg
Soy Sauce,cups,99 Ranch,0.10,http://farm9.staticflickr.com/8203/8246219314_4ecfef58a4.jpg
Sugar,cups,Costco,0.10,http://farm9.staticflickr.com/8490/8246219354_b90536a114_b.jpg
Wasabi,tubs,Costco,8.00,http://farm9.staticflickr.com/8061/8246857508_996ceb5175.jpg
Avocado,count,Costco,0.90,http://farm9.staticflickr.com/8345/8245789977_3607c0ea35.jpg
Ghirardelli Brownie Mix,bag,Costco,3.00,http://farm9.staticflickr.com/8479/8246866258_e01f60b838_m.jpg
Hoagie Rolls,count,Costco,0.20,http://farm9.staticflickr.com/8346/8246906450_18a76f0ab0_b.jpg
Shredded Mozarella Cheese,bags,Costco,8.00,http://farm9.staticflickr.com/8338/8246912760_ff59f686e5.jpg
Iceberg Salad Mix,bags,Costco,4.00,http://farm9.staticflickr.com/8482/8246373540_6885b76e46_b.jpg
Salad Dressing,bottle,Costco,5.00,http://farm9.staticflickr.com/8057/8245845481_ee99fcfb29.jpg
Tyson Teriyaki Chicken Thighs,bags,Costco,10.00,http://farm9.staticflickr.com/8069/8245306575_1143168908_m.jpg
Balsamic Vinaigrette,bottle,Costco,8.00,http://farm9.staticflickr.com/8345/8246373492_68bafcecb8.jpg
Panda Express Orange Glaze,44oz bottles,Costco,9.00,http://farm9.staticflickr.com/8350/8248009916_1a02d1035d.jpg
Pork Shoulder,lbs,Costco,3.00,http://farm9.staticflickr.com/8058/8248048556_0582f19176.jpg
Char Siu Sauce,jar,99 Ranch,4.00,http://farm9.staticflickr.com/8203/8246980225_27f9a66e2d.jpg
Cilantro,bunches,Safeway,0.20,http://farm9.staticflickr.com/8489/8248048606_5d9741e743.jpg
BBQ Paste,jar,Safeway,4.00,http://farm9.staticflickr.com/8343/8247018641_336969427e.jpg
Lemons,count,Safeway,0.60,http://farm9.staticflickr.com/8067/8247035139_87a31b24b9_b.jpg
Oranges,count,Safeway,0.50,http://farm9.staticflickr.com/8070/8247035167_e9029ab440_b.jpg
